CENTRO;ENSEÑANZA;LOCALIDAD;PROVINCIA;IDIOMA
CEIP AGUSTINA DE ARAGÓN;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP ALFREDO MUIÑOS  ;INFANTIL/PRIMARIA;REMOLINOS;ZARAGOZA;INGLÉS
CEIP ALTO ARAGÓN;INFANTIL/PRIMARIA;BARBASTRO;HUESCA;INGLÉS
CEIP ANGEL ESCORIAZA;INFANTIL/PRIMARIA;LA CARTUJA BAJA ;ZARAGOZA;INGLÉS
CEIP ANTONIO MARTÍNEZ GARAY;INFANTIL/PRIMARIA;CASETAS;ZARAGOZA;INGLÉS
CEIP ARAGÓN;INFANTIL/PRIMARIA;MONZÓN;HUESCA;INGLÉS
CEIP AREN ;INFANTIL/PRIMARIA;AREN;HUESCA;INGLÉS
CEIP ASTRONOMO ZARZOSO;INFANTIL/PRIMARIA;CELLA;TERUEL;INGLÉS
CEIP ASUNCIÓN PAÑART;INFANTIL/PRIMARIA;AINSA;HUESCA;FRANCÉS
CEIP BALTASAR GRACIÁN;INFANTIL/PRIMARIA;CALATAYUD;ZARAGOZA;INGLÉS
CEIP BASILIO PARAÍSO;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP BRIANDA DE LUNA;INFANTIL/PRIMARIA;ALFAJARIN ;ZARAGOZA;INGLÉS
CEIP CALIXTO ARIÑO;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;ALEMÁN
CEIP CAMPO DE BORJA;INFANTIL/PRIMARIA;BORJA;ZARAGOZA;INGLÉS
CEIP CÁNDIDO DOMINGO;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP CATALINA DE ARAGÓN;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP CERVANTES;INFANTIL/PRIMARIA;EJEA DE LOS CABALLEROS;ZARAGOZA;INGLÉS
CEIP CÉSAR AUGUSTO;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP CESÁREO ALIERTA;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP COMARCA CUENCAS MINERAS;INFANTIL/PRIMARIA;MONTALBAN;TERUEL;INGLÉS 
CEIP COMPROMISO DE CASPE;INFANTIL/PRIMARIA;CASPE;ZARAGOZA;INGLÉS
CEIP CORTES DE ARAGÓN;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP DOCTOR AZÚA;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP DOMINGO MIRAL ;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP EL JUSTICIA DE ARAGÓN;INFANTIL/PRIMARIA;ALCORISA;TERUEL;INGLÉS
CEIP EL PARQUE;INFANTIL/PRIMARIA;HUESCA;HUESCA;INGLÉS 
CEIP ENSANCHE;INFANTIL/PRIMARIA;TERUEL;TERUEL;INGLÉS
CEIP EUGENIO LÓPEZ Y LÓPEZ;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP FERNÁNDEZ VIZARRA;INFANTIL/PRIMARIA;MONZALBARBA;ZARAGOZA;INGLÉS
CEIP FERNANDO EL CATÓLICO;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP FERRER Y RACAJ;INFANTIL/PRIMARIA;EJEA DE LOS CABALLEROS;ZARAGOZA;INGLÉS
CEIP FLORIÁN REY;INFANTIL/PRIMARIA;LA ALMUNIA DE DOÑA GODINA;ZARAGOZA;INGLÉS 
CEIP FORO ROMANO;INFANTIL/PRIMARIA;CUARTE DE HUERVA;ZARAGOZA;INGLÉS
CEIP GASCÓN Y MARÍN;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP GUILLERMO FATÁS;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP HERMANOS MARX;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP HILARIÓN GIMENO;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP INFANTA ELENA;INFANTIL/PRIMARIA;UTEBO;ZARAGOZA;INGLÉS
CEIP JERÓNIMO BLANCAS Y TOMÁS;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP JERÓNIMO ZURITA Y CASTRO;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP JOAQUÍN COSTA;INFANTIL/PRIMARIA;GRAUS;HUESCA;INGLÉS
CEIP JOAQUÍN COSTA;INFANTIL/PRIMARIA;MONZÓN;HUESCA;INGLÉS
CEIP JOAQUÍN COSTA;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP JOAQUÍN COSTA ;INFANTIL/PRIMARIA;TARAZONA;ZARAGOZA;INGLÉS
CEIP JOSÉ ANTONIO LABORDETA SUBÍAS;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP JOSÉ MARÍA MIR;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;FRANCÉS
CEIP JOSEFA AMAR Y BORBÓN;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP JUAN LORENZO PALMIRENO;INFANTIL/PRIMARIA;ALCAÑIZ;TERUEL;INGLÉS
CEIP JUAN SOBRARÍAS;INFANTIL/PRIMARIA;ALCAÑIZ;TERUEL;INGLÉS
CEIP JUAN XXIII;INFANTIL/PRIMARIA;HUESCA;HUESCA;INGLÉS
CEIP JULIÁN NIETO TAPIA;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP JULIÁN SANZ IBÁÑEZ;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP KATIA ACÍN;INFANTIL/PRIMARIA;BINEFAR;HUESCA;INGLÉS
CEIP LA ALMOZARA;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP LA ESTRELLA;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;FRANCÉS
CEIP LA FUENFRESCA;INFANTIL/PRIMARIA;TERUEL;TERUEL;INGLÉS
CEIP LA MERCED;INFANTIL/PRIMARIA;BARBASTRO;HUESCA;INGLÉS
CEIP LAS ANEJAS;INFANTIL/PRIMARIA;TERUEL;TERUEL;INGLÉS
CEIP LOS ALBARES;INFANTIL/PRIMARIA;LA PUEBLA DE ALFINDEN;ZARAGOZA;INGLÉS
CEIP LOS ARAÑONES;INFANTIL/PRIMARIA;CANFRANC;HUESCA;FRANCÉS
CEIP LUCIEN BRIET;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;FRANCÉS
CEIP MAESTRO DON PEDRO OROS;INFANTIL/PRIMARIA;MOVERA  ;ZARAGOZA;INGLÉS
CEIP MARCOS FRECHÍN;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP MARGARITA SALAS;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;ALEMÁN
CEIP MARÍA MOLINER;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP MARÍA MOLINER ;INFANTIL/PRIMARIA;FRAGA;HUESCA;INGLÉS 
CEIP MARÍA ZAMBRANO;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP MARIE CURIE;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;FRANCÉS
CEIP MIGUEL ARTAZOS TAMÉ;INFANTIL/PRIMARIA;UTEBO;ZARAGOZA;INGLÉS
CEIP MIGUEL SERVET ;INFANTIL/PRIMARIA;FRAGA ;HUESCA;INGLÉS
CEIP MIGUEL VALLES;INFANTIL/PRIMARIA;TERUEL;TERUEL;INGLÉS
CEIP MIRAFLORES;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP MONTANUY ;INFANTIL/PRIMARIA;MONTANUY ;HUESCA;INGLÉS
CEIP MONTE OROEL;INFANTIL/PRIMARIA;JACA;HUESCA;FRANCÉS
CEIP MONTECANAL;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP MONTECORONA;INFANTIL/PRIMARIA;SABIÑÁNIGO;HUESCA;INGLÉS
CEIP MONTES DEL CASTELLAR;INFANTIL/PRIMARIA;TORRES DE BERRELLEN;ZARAGOZA;INGLÉS
CEIP MONZON III;INFANTIL/PRIMARIA;MONZON;HUESCA;INGLÉS
CEIP NERTÓBRIGA;INFANTIL/PRIMARIA;LA ALMUNIA DE DOÑA GODINA;ZARAGOZA;INGLÉS 
CEIP NTRA. SRA. DEL PILAR;INFANTIL/PRIMARIA;MONREAL DEL CAMPO;TERUEL;INGLÉS
CEIP OCTAVUS;INFANTIL/PRIMARIA;UTEBO;ZARAGOZA;INGLÉS
CEIP ODÓN DE BUEN;INFANTIL/PRIMARIA;ZUERA;ZARAGOZA;INGLÉS
CEIP PARQUE EUROPA;INFANTIL/PRIMARIA;UTEBO;ZARAGOZA;INGLÉS
CEIP PEDRO I;INFANTIL/PRIMARIA;BARBASTRO;HUESCA;FRANCÉS
CEIP PIERRES VEDEL;INFANTIL/PRIMARIA;TERUEL;TERUEL;FRANCÉS
CEIP PILAR BAYONA;INFANTIL/PRIMARIA;CUARTE DE HUERVA;ZARAGOZA;INGLÉS
CEIP PIO XII;INFANTIL/PRIMARIA;HUESCA;HUESCA;FRANCÉS
CEIP PIRINEOS-PYRÉNÉES;INFANTIL/PRIMARIA;HUESCA;HUESCA;FRANCÉS
CEIP PUENTE SARDAS;INFANTIL/PRIMARIA;SABIÑÁNIGO;HUESCA;FRANCÉS
CEIP PUERTA DE SANCHO;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP RAMÓN SÁINZ DE VARANDA;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP RAMÓN Y CAJAL;INFANTIL/PRIMARIA;CUARTE DE HUERVA;ZARAGOZA;INGLÉS
CEIP RECARTE Y ORNAT;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP RECTOR MAMÉS ESPERABÉ;INFANTIL/PRIMARIA;EJEA CABALLEROS;ZARAGOZA;INGLÉS
CEIP REINO DE ARAGÓN;INFANTIL/PRIMARIA;LA PUEBLA DE ALFINDEN;ZARAGOZA;INGLÉS
CEIP RICARDO MUR;INFANTIL/PRIMARIA;CASETAS;ZARAGOZA;INGLÉS
CEIP RÍO EBRO;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;FRANCÉS
CEIP SAN BRAULIO;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;FRANCÉS
CEIP SAN JOSÉ DE CALASANZ;INFANTIL/PRIMARIA;FRAGA;HUESCA;INGLÉS
CEIP SAN JOSÉ DE CALASANZ;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP SAN JUAN DE LA PEÑA;INFANTIL/PRIMARIA;JACA;HUESCA;INGLÉS
CEIP SAN ROQUE;INFANTIL/PRIMARIA;MARÍA DE HUERVA;ZARAGOZA;INGLÉS
CEIP SAN VICENTE;INFANTIL/PRIMARIA;HUESCA;HUESCA;INGLÉS
CEIP SANTO CRISTO DE SANTIAGO;INFANTIL/PRIMARIA;CARIÑENA ;ZARAGOZA;INGLÉS
CEIP TENERÍAS;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP TÍO JORGE;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP TOMÁS ALVIRA;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP TORRE RAMONA;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;FRANCÉS
CEIP VADORREY-LES ALLÉES;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;FRANCÉS
CEIP VALDESPARTERA;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP VÍCTOR MENDOZA;INFANTIL/PRIMARIA;BINEFAR;HUESCA;INGLÉS
CEIP VIRGEN DE LA SOLEDAD;INFANTIL/PRIMARIA;BOLEA;HUESCA;INGLÉS
CEIP ZALFONADA;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIPI ANA MARÍA NAVALES;INFANTIL/PRIMARIA/SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIPI ARCOSUR;INFANTIL/PRIMARIA/SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIPI BENABARRE ;INFANTIL/PRIMARIA/SECUNDARIA;BENABARRE ;HUESCA;INGLÉS
CEIPI CASTILLO QADRIT;INFANTIL/PRIMARIA/SECUNDARIA;CADRETE;ZARAGOZA;INGLÉS
CEIPI ESPARTIDERO;INFANTIL/PRIMARIA/SECUNDARIA;ZARAGOZA;ZARAGOZA;FRANCÉS 
CEIPI GALO PONTE;INFANTIL/PRIMARIA/SECUNDARIA;SAN MATEO;ZARAGOZA;INGLÉS
CEIPI JULIO VERNE;INFANTIL/PRIMARIA/SECUNDARIA;ZARAGOZA;ZARAGOZA;FRANCÉS
CEIPI LA JOTA;INFANTIL/PRIMARIA/SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIPI MARIA DOMINGUEZ;INFANTIL/PRIMARIA/SECUNDARIA;GALLUR;ZARAGOZA;INGLÉS
CEIPI PARQUE GOYA;INFANTIL/PRIMARIA/SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIPI PARQUE VENECIA;INFANTIL/PRIMARIA/SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIPI RAMÓN Y CAJAL;INFANTIL/PRIMARIA/SECUNDARIA;AYERBE;HUESCA;INGLÉS
CEIPI RÍO SENA;INFANTIL/PRIMARIA/SECUNDARIA;ZARAGOZA;ZARAGOZA;FRANCÉS 
CEIPI ROSALES DEL CANAL;INFANTIL/PRIMARIA/SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIPI SAN JORGE;INFANTIL/PRIMARIA/SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIPI SOLEDAD PUÉRTOLAS;INFANTIL/PRIMARIA/SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIPI VAL DE LA ATALAYA;INFANTIL/PRIMARIA/SECUNDARIA;MARIA DE HUERVA;ZARAGOZA;INGLÉS
CEIPI VALDESPARTERA III;INFANTIL/PRIMARIA/SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIPI ZARAGOZA SUR;INFANTIL/PRIMARIA/SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CRA ARCO IRIS;INFANTIL/PRIMARIA;CONCHEL;HUESCA;INGLÉS
CRA DEL MEZQUÍN;INFANTIL/PRIMARIA;CASTELSERÁS;TERUEL;INGLÉS
CRA EL MIRADOR;INFANTIL/PRIMARIA;VILLALENGUA;ZARAGOZA;INGLÉS
CRA EL TREBOL ;INFANTIL/PRIMARIA;BINACED;HUESCA;INGLÉS
CRA LA CEPA;INFANTIL/PRIMARIA;PANIZA;ZARAGOZA;INGLÉS 
CRA LUIS BUÑUEL ;INFANTIL/PRIMARIA;PINSORO;ZARAGOZA;INGLÉS
CRA MARÍA MOLINER;INFANTIL/PRIMARIA;BURGO DE EBRO (EL);ZARAGOZA;INGLÉS
CRA VERO-ALCANADRE;INFANTIL/PRIMARIA;ADAHUESCA;HUESCA;INGLÉS
CRA VIOLADA MONEGROS;INFANTIL/PRIMARIA;TARDIENTA;HUESCA;INGLÉS
IES ANDALÁN;SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
IES ÁNGEL SANZ BRIZ;SECUNDARIA;CASETAS;ZARAGOZA;INGLÉS
IES AVEMPACE;SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
IES BAJO ARAGÓN;SECUNDARIA;ALCAÑIZ;TERUEL;INGLÉS
IES BAJO CINCA;SECUNDARIA;FRAGA ;HUESCA;INGLÉS
IES BALTASAR GRACIAN;SECUNDARIA;GRAUS;HUESCA;INGLÉS
IES BENJAMÍN JARNÉS;SECUNDARIA;FUENTES DE EBRO;ZARAGOZA;INGLÉS
IES BIELLO ARAGÓN;SECUNDARIA;SABIÑÁNIGO;HUESCA;FRANCÉS
IES CINCO VILLAS;SECUNDARIA;EJEA;ZARAGOZA;FRANCÉS-INGLÉS
IES CLARA CAMPOAMOR RODRIGUEZ;SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
IES CONDE ARANDA;SECUNDARIA;ALAGÓN;ZARAGOZA;INGLÉS
IES CORONA DE ARAGÓN;SECUNDARIA;ZARAGOZA;ZARAGOZA;FRANCÉS-INGLÉS
IES DAMIÁN FORMENT;SECUNDARIA;ALCORISA;TERUEL;INGLÉS
IES DOMINGO MIRAL (2018-19);SECUNDARIA;JACA;HUESCA;FRANCÉS-INGLÉS*
IES EL PICARRAL;SECUNDARIA;ZARAGOZA;ZARAGOZA;FRANCÉS-INGLÉS
IES EL PORTILLO;SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
IES ELAIOS;SECUNDARIA;ZARAGOZA;ZARAGOZA;FRANCÉS-INGLÉS
IES EMILIO JIMENO;SECUNDARIA;CALATAYUD;ZARAGOZA;INGLÉS
IES FRANCISCO GRANDE COVIÁN;SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
IES FELIX DE AZARA;SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
IES FRANCÉS DE ARANDA;SECUNDARIA;TERUEL;TERUEL;INGLÉS
IES GALLICUM;SECUNDARIA;ZUERA;ZARAGOZA;INGLÉS
IES GOYA;SECUNDARIA;ZARAGOZA;ZARAGOZA;ALEMÁN-INGLÉS
IES H. ARGENSOLA ;SECUNDARIA;BARBASTRO;HUESCA;INGLÉS
IES ITACA;SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
IES JERÓNIMO ZURITA;SECUNDARIA;ZARAGOZA;ZARAGOZA;FRANCÉS-INGLÉS
IES JOAQUIN COSTA;SECUNDARIA;CARIÑENA;ZARAGOZA;INGLÉS
IES JOSÉ MANUEL BLECUA;SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
IES JUAN DE LANUZA;SECUNDARIA;BORJA;ZARAGOZA;INGLÉS
IES LA AZUCARERA;SECUNDARIA;ZARAGOZA;ZARAGOZA;FRANCÉS-INGLÉS
IES LA LLITERA;SECUNDARIA;TAMARITE DE LA LITERA;HUESCA;INGLÉS
IES LA MUELA;SECUNDARIA;LA MUELA;ZARAGOZA;INGLÉS
IES LA PUEBLA DE ALFINDEN;SECUNDARIA;LA PUEBLA DE ALFINDÉN;ZARAGOZA;INGLÉS
IES LEONARDO DE CHABACIER;SECUNDARIA;CALATAYUD;ZARAGOZA;INGLÉS
IES LUCAS MALLADA;SECUNDARIA;HUESCA;HUESCA;FRANCÉS
IES LUIS BUÑUEL;SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
IES MAR DE ARÁGON;SECUNDARIA;CASPE;ZARAGOZA;INGLÉS
IES MARÍA MOLINER;SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
IES MARTINA BESCOS;SECUNDARIA;CUARTE DE HUERVA;ZARAGOZA;INGLÉS
IES MARTÍNEZ VARGAS;SECUNDARIA;BARBASTRO;HUESCA;FRANCÉS-INGLÉS
IES MEDINA ALBAIDA;SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
IES MIGUEL CATALÁN;SECUNDARIA;ZARAGOZA;ZARAGOZA;ALEMÁN-INGLÉS
IES MIGUEL DE MOLINOS;SECUNDARIA;ZARAGOZA;ZARAGOZA;FRANCÉS-INGLÉS*
IES MIGUEL SERVET;SECUNDARIA;ZARAGOZA ;ZARAGOZA;INGLÉS
IES MIRALBUENO;SECUNDARIA;ZARAGOZA;ZARAGOZA;FRANCÉS-INGLÉS*
IES MOR DE FUENTES;SECUNDARIA;MONZÓN;HUESCA;INGLÉS
IES PABLO GARGALLO;SECUNDARIA;ZARAGOZA ;ZARAGOZA;ALEMÁN-INGLÉS
IES PABLO SERRANO;SECUNDARIA;ANDORRA;TERUEL;FRANCÉS
IES PABLO SERRANO;SECUNDARIA;ZARAGOZA;ZARAGOZA;FRANCÉS-INGLÉS
IES PEDRO CERRADA;SECUNDARIA;UTEBO;ZARAGOZA;INGLÉS
IES PEDRO DE LUNA;SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
IES PILAR LORENGAR;SECUNDARIA;ZARAGOZA;ZARAGOZA;FRANCÉS-INGLÉS
IES PIRINEOS;SECUNDARIA;JACA;HUESCA;FRANCÉS-INGLÉS
IES RAMÓN J. SENDER;SECUNDARIA;FRAGA;HUESCA;INGLÉS
IES RAMÓN PIGNATELLI;SECUNDARIA;ZARAGOZA;ZARAGOZA;FRANCÉS-INGLÉS
IES RAMÓN Y CAJAL;SECUNDARIA;HUESCA;HUESCA;INGLÉS
IES RAMÓN Y CAJAL;SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
IES REYES CATÓLICOS;SECUNDARIA;EJEA;ZARAGOZA;FRANCÉS-INGLÉS*
IES RÍO GALLEGO;SECUNDARIA;ZARAGOZA;ZARAGOZA;FRANCÉS-INGLÉS
IES RODANAS;SECUNDARIA;EPILA;ZARAGOZA;INGLÉS
IES SALVADOR VICTORIA;SECUNDARIA;MONREAL DEL CAMPO;TERUEL ;INGLÉS
IES SAN ALBERTO MAGNO;SECUNDARIA;SABIÑANIGO;HUESCA;INGLÉS
IES SANTIAGO HERNÁNDEZ ;SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
IES SIERRA DE GUARA;SECUNDARIA;HUESCA;HUESCA;FRANCÉS-INGLÉS*
IES SIERRA DE SAN QUILEZ;SECUNDARIA;BINEFAR;HUESCA;INGLÉS
IES SIERRA PALOMERA;SECUNDARIA;CELLA;TERUEL;INGLÉS
IES SOBRARBE;SECUNDARIA;AINSA;HUESCA;FRANCÉS
IES TIEMPOS MODERNOS;SECUNDARIA;ZARAGOZA;ZARAGOZA;FRANCÉS-INGLÉS
IES TORRE DE LOS ESPEJOS;SECUNDARIA;UTEBO;ZARAGOZA;INGLÉS
IES TUBALCAÍN;SECUNDARIA;TARAZONA;ZARAGOZA;INGLÉS
IES VALDESPARTERA;SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
IES VEGA DEL TURIA;SECUNDARIA;TERUEL;TERUEL;FRANCÉS-INGLÉS
IES VIRGEN DEL PILAR;SECUNDARIA;ZARAGOZA;ZARAGOZA;INGLÉS
